No.of Days,Sun_PosX,Sun_PosY,Sun_PosZ,SunVecX,SunVecY,SunVecZ,SunVec_Mag,X_azi,Y_azi,Z_azi,nX_azi,nY_azi,nZ_azi,X_ele
158,-135266974112,58622081487.5,25412992636.6,-0.917539811883,0.397643928169,0.172380845795,147423553364,0,0,0,-23.4309714408,0,0,9.780573776
159,-136315640763,56540281140.2,24510520393.7,-0.923696156675,0.383125841133,0.166087118045,147576271631,0,0,0,-22.5274393681,0,0,9.43001093582
160,-137325637254,54443996564.7,23601769189.7,-0.929607422766,0.368551271249,0.159769000392,147724340189,0,0,0,-21.6262981434,0,0,9.0773715197
161,-138296769476,52333803737.8,22686988714,-0.935274387916,0.353923465327,0.15342774294,147867583953,0,0,0,-20.7274804808,0,0,8.72274190525
162,-139228853285,50210277242.8,21766428051.8,-0.940698026766,0.33924507725,0.14706457917,148005899549,0,0,0,-19.83088678,0,0,8.36620891685
163,-140121714235,48073990147.7,20840335631.6,-0.945879105547,0.324519210046,0.140680853602,148139133839,0,0,0,-18.936449027,0,0,8.00786695127
164,-140975187304,45925513899.8,19908959179.1,-0.950818582953,0.309748320918,0.134277554636,148267178193,0,0,0,-18.0440638003,0,0,7.64779169826
165,-141789116631,43765418236.3,18972545678.8,-0.955517227903,0.294935293208,0.127856069766,148389912372,0,0,0,-17.153657311,0,0,7.2860825008
166,-142563355243,41594271110.7,18031341341.8,-0.959975941766,0.280082472194,0.121417243274,148507213558,0,0,0,-16.2651269665,0,0,6.9228092897
167,-143297764791,39412638635.3,17085591581.2,-0.964195491937,0.265192483545,0.114962389805,148618999720,0,0,0,-15.3783905115,0,0,6.55806961269
168,-143992215287,37221085038.9,16135540993.3,-0.968176702171,0.250267603524,0.108492346805,148725133528,0,0,0,-14.4933481433,0,0,6.1919351283
169,-144646584847,35020172640,15181433346.5,-0.971920319938,0.235310203117,0.102008237967,148825565732,0,0,0,-13.6099088852,0,0,5.82449465634
170,-145260759431,32810461835.1,14223511575.9,-0.975427083294,0.220322502657,0.0955110009784,148920155421,0,0,0,-12.7279758266,0,0,5.45582742719
171,-145834632604,30592511101.5,13262017784.6,-0.978697697764,0.205306639912,0.0890015104683,149008870533,0,0,0,-11.8474500419,0,0,5.08600995264
172,-146368105284,28366877014.4,12297193251.2,-0.981732810129,0.190264787906,0.0824808307587,149091584838,0,0,0,-10.9682373171,0,0,4.71513034089
173,-146861085516,26134114278.3,11329278443.1,-0.984533064997,0.175198869655,0.0759496214575,149168264541,0,0,0,-10.0902312967,0,0,4.34325444237
174,-147313488237,23894775771.5,10358513036.1,-0.987099011872,0.16011102636,0.0694090091234,149238815007,0,0,0,-9.21334064461,0,0,3.97047538562
175,-147725235066,21649412603.4,9385135939.46,-0.989431217849,0.145002983229,0.0628595512523,149303187590,0,0,0,-8.3374519411,0,0,3.59685452543
176,-148096254092,19398574185.2,8409385325.83,-0.991530131579,0.129876857716,0.0563023160679,149361326798,0,0,0,-7.46247645545,0,0,3.22248292365
177,-148426479675,17142808311.5,7431498667.22,-0.993396224973,0.114734215512,0.0497378992304,149413167421,0,0,0,-6.58829524931,0,0,2.84742521227
178,-148715852263,14882661253.8,6451712775.36,-0.99502984681,0.0995771256732,0.0431671956768,149458688938,0,0,0,-5.7148200216,0,0,2.47176358751
179,-148964318212,12618677864.8,5470263846.88,-0.996431355329,0.0844070738602,0.0365909422052,149497818205,0,0,0,-4.84193017413,0,0,2.09557163889
180,-149171829627,10351401692.6,4487387512.89,-0.997601001773,0.069226015783,0.0300098108014,149530557903,0,0,0,-3.96953334599,0,0,1.71891961355
181,-149338344209,8081375104.88,3503318892.64,-0.998539016858,0.0540354680864,0.0234246976266,149556839669,0,0,0,-3.09751288371,0,0,1.34189090707
